top - 21:38:13 up 2 days, 22:58,  1 user,  load average: 3.45, 14.30, 17.32
Tasks: 1175 total,   1 running, 1174 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.2 us,  0.6 sy,  0.0 ni, 99.2 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem : 511582.2 total, 507940.4 free,   1417.2 used,   2224.5 buff/cache
MiB Swap:   8192.0 total,   8192.0 free,      0.0 used. 507362.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    117 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
    118 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    119 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    120 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/18
    121 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    122 root      rt   0       0      0      0 S   0.0   0.0   0:03.23 migrati+
    123 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
    125 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    126 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/19
    127 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    128 root      rt   0       0      0      0 S   0.0   0.0   0:03.23 migrati+
    129 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
    130 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    131 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    132 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/20
    133 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    134 root      rt   0       0      0      0 S   0.0   0.0   0:03.24 migrati+
    135 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
    136 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    137 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    138 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/21
    139 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    140 root      rt   0       0      0      0 S   0.0   0.0   0:03.24 migrati+
    141 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
    143 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    144 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/22
    145 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    146 root      rt   0       0      0      0 S   0.0   0.0   0:03.25 migrati+
    147 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
    148 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    149 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    150 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/23
    151 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    152 root      rt   0       0      0      0 S   0.0   0.0   0:03.25 migrati+
    153 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
    155 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    156 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/24
    157 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    158 root      rt   0       0      0      0 S   0.0   0.0   0:03.26 migrati+
    159 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
    160 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    161 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    162 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/25
    163 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    164 root      rt   0       0      0      0 S   0.0   0.0   0:03.27 migrati+
    165 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
